Date,Amount,Asset Type
2021-01-01,12360,Debt
2021-02-01,8532,REIT
2021-03-01,6930,Equity
2021-04-01,9571,Equity
2021-05-01,12628,Debt
2021-06-01,9553,Debt
2021-07-01,14721,Gold
2021-08-01,11111,Equity
2021-09-01,10266,REIT
2021-10-01,9199,Equity
2021-11-01,9430,REIT
2021-12-01,10567,Debt
2022-01-01,13276,Gold
2022-02-01,11992,Equity
2022-03-01,6165,Equity
2022-04-01,14579,Gold
2022-05-01,5220,Equity
2022-06-01,14744,REIT
2022-07-01,10008,Gold
2022-08-01,10263,Equity
2022-09-01,14432,Gold
2022-10-01,12221,Gold
2022-11-01,9084,Equity
2022-12-01,13260,Gold
2023-01-01,9159,Debt
2023-02-01,13500,REIT
2023-03-01,10486,REIT
2023-04-01,7196,REIT
2023-05-01,8970,REIT
2023-06-01,5901,REIT
2023-07-01,9971,Equity
2023-08-01,6417,Gold
2023-09-01,12746,REIT
2023-10-01,12073,Equity
2023-11-01,13308,Equity
2023-12-01,9216,REIT
2024-01-01,8632,REIT
